Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-AC-A62X,0.905,0.098,1.881
TCGA-AC-A62Y,0.661,0.291,1.135
TCGA-AC-A6IW,0.885,0.611,9.385
TCGA-AC-A6IX,0.424,0.537,0.79
TCGA-AC-A6NO,0.611,0.159,0.5
TCGA-AC-A7VB,0.832,0.085,0.841
TCGA-AC-A7VC,0.815,0.11,0.97
TCGA-AC-A8OP,0.628,0.366,1.236
TCGA-AC-A8OQ,0.798,0.85,6.698
TCGA-AC-A8OR,0.546,0.104,0.25
TCGA-AC-A8OS,0.436,0.561,0.867
TCGA-AN-A03X,0.774,0.417,2.861
TCGA-AN-A03Y,0.784,0.138,0.998
TCGA-AN-A041,0.521,0.172,0.375
TCGA-AN-A046,0.603,0.401,1.216
TCGA-AN-A049,0.704,0.227,1.082
TCGA-AN-A04A,0.6,0.258,0.775
TCGA-AN-A04C,0.888,0.16,2.55
TCGA-AN-A04D,0.906,0.066,1.264
TCGA-AN-A0AJ,0.882,0.159,2.378
TCGA-AN-A0AK,0.796,0.134,1.049
TCGA-AN-A0AL,0.755,0.168,1.037
TCGA-AN-A0AM,0.848,0.501,5.582
TCGA-AN-A0AR,0.905,0.068,1.305
TCGA-AN-A0AS,0.631,0.248,0.848
TCGA-AN-A0AT,0.905,0.299,5.656
TCGA-AN-A0FD,0.614,0.173,0.551
TCGA-AN-A0FF,0.506,0.204,0.419
TCGA-AN-A0FJ,0.861,0.136,1.69
TCGA-AN-A0FK,0.764,0.197,1.275
TCGA-AN-A0FL,0.904,0.049,0.924
TCGA-AN-A0FV,0.746,0.286,1.68
TCGA-AN-A0FW,0.772,0.155,1.048
TCGA-AN-A0FX,0.697,0.3,1.381
TCGA-AN-A0FY,0.723,0.116,0.606
TCGA-AN-A0XL,0.37,0.426,0.501
TCGA-AN-A0XN,0.435,0.319,0.492
TCGA-AN-A0XO,0.485,0.234,0.44
TCGA-AN-A0XP,0.441,0.208,0.328
TCGA-AN-A0XR,0.636,0.096,0.336
TCGA-AN-A0XS,0.38,0.288,0.353
TCGA-AN-A0XT,0.614,0.151,0.482
TCGA-AN-A0XU,0.859,0.179,2.176
TCGA-AN-A0XV,0.34,0.424,0.436
TCGA-AN-A0XW,0.519,0.432,0.93
TCGA-AO-A03L,0.662,0.342,1.341
TCGA-AO-A03O,0.709,0.143,0.698
TCGA-AO-A03P,0.824,0.082,0.763
TCGA-AO-A03R,0.74,0.299,1.704
TCGA-AO-A03T,0.816,0.423,3.752
TCGA-AO-A03V,0.667,0.191,0.766
TCGA-AO-A0J2,0.902,0.156,2.881
TCGA-AO-A0J3,0.84,0.055,0.577
TCGA-AO-A0J4,0.665,0.374,1.483
TCGA-AO-A0J5,0.465,0.292,0.507
TCGA-AO-A0J6,0.879,0.269,3.911
TCGA-AO-A0J7,0.751,0.113,0.68
TCGA-AO-A0J8,0.526,0.19,0.422
TCGA-AO-A0J9,0.618,0.507,1.637
TCGA-AO-A0JA,0.577,0.3,0.82
TCGA-AO-A0JB,0.884,0.197,2.997
TCGA-AO-A0JD,0.894,0.356,5.991
TCGA-AO-A0JE,0.675,0.538,2.235
TCGA-AO-A0JF,0.196,0.644,0.315
TCGA-AO-A0JG,0.486,0.459,0.867
TCGA-AO-A0JI,0.712,0.142,0.7
TCGA-AO-A0JJ,0.306,0.487,0.43
TCGA-AO-A0JM,0.69,0.229,1.017
TCGA-AO-A125,0.745,0.031,0.179
TCGA-AO-A126,0.683,0.201,0.867
TCGA-AO-A128,0.699,0.96,4.45
TCGA-AO-A129,0.865,0.445,5.704
TCGA-AO-A12D,0.606,0.588,1.812
TCGA-AO-A12F,0.853,0.072,0.834
TCGA-AO-A12G,0.681,0.237,1.013
TCGA-AO-A12H,0.475,0.371,0.671
TCGA-AO-A1KP,0.901,0.075,1.366
TCGA-AO-A1KS,0.903,0.149,2.762
TCGA-AO-A1KT,0.736,0.176,0.981
TCGA-AQ-A04J,0.591,0.677,1.958
TCGA-AQ-A0Y5,0.634,0.329,1.139
TCGA-AQ-A1H2,0.751,0.091,0.546
TCGA-AQ-A1H3,0.329,0.331,0.325
TCGA-AQ-A7U7,0.355,1.232,1.354
TCGA-AR-A0TP,0.852,0.046,0.526
TCGA-AR-A0TQ,0.636,0.417,1.458
TCGA-AR-A0TR,0.593,0.086,0.251
TCGA-AR-A0TT,0.495,0.668,1.309
TCGA-AR-A0TV,0.766,0.173,1.132
TCGA-AR-A0TW,0.879,0.338,4.893
TCGA-AR-A0TX,0.618,0.7,2.269
TCGA-AR-A0TY,0.864,0.197,2.498
TCGA-AR-A0TZ,0.771,0.106,0.715
TCGA-AR-A0U0,0.866,0.474,6.132
TCGA-AR-A0U2,0.845,0.213,2.32
TCGA-AR-A0U3,0.73,0.158,0.854
TCGA-AR-A0U4,0.794,0.711,5.484
TCGA-AR-A1AH,0.884,0.117,1.78
TCGA-AR-A1AI,0.841,0.507,5.384
TCGA-AR-A1AJ,0.572,1.26,3.373
TCGA-AR-A1AK,0.413,0.488,0.687
TCGA-AR-A1AM,0.39,0.606,0.776
TCGA-AR-A1AN,0.534,0.423,0.967
TCGA-AR-A1AP,0.619,0.242,0.784
TCGA-AR-A1AQ,0.786,0.637,4.676
TCGA-AR-A1AR,0.811,0.477,4.09
TCGA-AR-A1AS,0.599,0.125,0.373
TCGA-AR-A1AU,0.435,0.465,0.715
TCGA-AR-A1AV,0.53,0.169,0.38
TCGA-AR-A1AW,0.411,1.382,1.93
TCGA-AR-A1AX,0.414,1.361,1.926
TCGA-AR-A1AY,0.889,0.169,2.708
TCGA-AR-A24H,0.851,0.104,1.193
TCGA-AR-A24K,0.727,0.09,0.48
TCGA-AR-A24L,0.596,0.39,1.151
TCGA-AR-A24M,0.377,0.237,0.287
TCGA-AR-A24N,0.517,0.153,0.328
TCGA-AR-A24P,0.386,0.292,0.368
TCGA-AR-A24Q,0.703,0.254,1.199
TCGA-AR-A24R,0.597,0.192,0.568
TCGA-AR-A24S,0.56,0.318,0.81
TCGA-AR-A24U,0.564,1.05,2.721
TCGA-AR-A24V,0.402,0.294,0.395
TCGA-AR-A24X,0.38,0.201,0.246
TCGA-AR-A24Z,0.68,0.088,0.374
TCGA-AR-A251,0.864,0.181,2.293
TCGA-AR-A254,0.56,0.361,0.918
TCGA-AR-A255,0.504,0.417,0.848
TCGA-AR-A256,0.887,0.128,2.022
TCGA-AR-A2LE,0.345,0.194,0.205
TCGA-AR-A2LJ,0.699,0.677,3.136
TCGA-AR-A2LK,0.605,0.146,0.447
TCGA-AR-A2LM,0.295,0.377,0.315
TCGA-AR-A2LN,0.065,0.661,0.092
TCGA-AR-A2LO,0.382,0.968,1.194
TCGA-AR-A5QM,0.553,0.643,1.592
TCGA-AR-A5QN,0.454,0.409,0.679
TCGA-AR-A5QP,0.429,0.779,1.171
TCGA-B6-A0I1,0.903,0.142,2.647
TCGA-B6-A0I2,0.903,0.393,7.353
TCGA-B6-A0I5,0.82,0.243,2.205
TCGA-B6-A0I9,0.816,0.215,1.908
TCGA-B6-A0IA,0.905,0.065,1.233
TCGA-B6-A0IB,0.837,0.151,1.556
TCGA-B6-A0IE,0.877,0.335,4.769
TCGA-B6-A0IG,0.852,0.229,2.636
TCGA-B6-A0IJ,0.865,0.458,5.86
TCGA-B6-A0IK,0.783,0.492,3.549
TCGA-B6-A0IM,0.551,0.141,0.348
TCGA-B6-A0IN,0.737,0.302,1.691
TCGA-B6-A0IO,0.874,0.159,2.204
TCGA-B6-A0IP,0.434,0.235,0.362
TCGA-B6-A0IQ,0.88,0.263,3.873
TCGA-B6-A0RE,0.867,0.201,2.63
TCGA-B6-A0RG,0.644,0.067,0.244
TCGA-B6-A0RH,0.867,0.276,3.588
TCGA-B6-A0RI,0.456,0.174,0.292
TCGA-B6-A0RM,0.474,0.108,0.194
TCGA-B6-A0RN,0.449,0.143,0.234
TCGA-B6-A0RO,0.835,0.289,2.926
TCGA-B6-A0RP,0.386,0.222,0.28
TCGA-B6-A0RS,0.752,0.281,1.7
TCGA-B6-A0RU,0.621,0.577,1.888
TCGA-B6-A0RV,0.414,0.615,0.867
TCGA-B6-A0WS,0.455,0.465,0.776
TCGA-B6-A0WT,0.348,0.244,0.26
TCGA-B6-A0WV,0.595,0.174,0.512
TCGA-B6-A0WW,0.706,0.203,0.973
TCGA-B6-A0WX,0.661,0.488,1.901
TCGA-B6-A0WY,0.421,0.883,1.285
TCGA-B6-A0WZ,0.66,0.185,0.719
TCGA-B6-A0X0,0.53,0.244,0.55
TCGA-B6-A0X1,0.871,0.251,3.392
TCGA-B6-A0X5,0.606,0.074,0.228
TCGA-B6-A0X7,0.34,0.359,0.369
TCGA-B6-A1KC,0.763,0.071,0.458
TCGA-B6-A1KF,0.842,0.08,0.856
TCGA-B6-A1KI,0.441,0.335,0.528
TCGA-B6-A1KN,0.74,0.247,1.402
TCGA-B6-A2IU,0.573,0.225,0.605
TCGA-B6-A3ZX,0.626,1.991,6.651
TCGA-B6-A400,0.817,0.348,3.103
TCGA-B6-A401,0.721,0.726,3.758
TCGA-B6-A402,0.896,0.154,2.662
TCGA-B6-A408,0.626,0.192,0.644
TCGA-B6-A409,0.862,0.48,5.976
TCGA-B6-A40B,0.689,0.316,1.402
TCGA-B6-A40C,0.639,0.217,0.769
TCGA-BH-A0AU,0.7,0.355,1.655
TCGA-BH-A0AV,0.686,0.504,2.204
TCGA-BH-A0AW,0.732,0.348,1.899
TCGA-BH-A0AY,0.56,0.367,0.932
TCGA-BH-A0AZ,0.406,0.493,0.673
TCGA-BH-A0B0,0.511,0.457,0.957
TCGA-BH-A0B3,0.751,0.471,2.838
TCGA-BH-A0B4,0.683,0.362,1.563
TCGA-BH-A0B5,0.423,0.271,0.396
TCGA-BH-A0B7,0.574,1.349,3.635
TCGA-BH-A0B9,0.89,0.35,5.685
TCGA-BH-A0BA,0.528,0.358,0.799
TCGA-BH-A0BC,0.583,0.37,1.033
TCGA-BH-A0BD,0.529,0.221,0.496
TCGA-BH-A0BF,0.439,0.715,1.117
TCGA-BH-A0BG,0.613,0.269,0.853
TCGA-BH-A0BJ,0.468,0.556,0.976
TCGA-BH-A0BM,0.451,0.324,0.533
TCGA-BH-A0BP,0.615,0.34,1.089
TCGA-BH-A0BQ,0.415,0.726,1.028
TCGA-BH-A0BR,0.696,0.471,2.151
TCGA-BH-A0BT,0.868,0.152,2.005
TCGA-BH-A0BV,0.534,0.232,0.53
TCGA-BH-A0BW,0.794,0.435,3.361
TCGA-BH-A0BZ,0.734,0.502,2.774
TCGA-BH-A0C0,0.702,0.82,3.866
TCGA-BH-A0C3,0.413,0.859,1.208
TCGA-BH-A0DD,0.606,0.079,0.242
TCGA-BH-A0DE,0.347,0.437,0.465
TCGA-BH-A0DG,0.527,0.642,1.431
TCGA-BH-A0DH,0.676,0.178,0.743
TCGA-BH-A0DI,0.364,0.9,1.029
TCGA-BH-A0DK,0.513,0.469,0.989
TCGA-BH-A0DL,0.712,0.522,2.586
TCGA-BH-A0DP,0.392,0.412,0.533
TCGA-BH-A0DQ,0.436,0.293,0.454
TCGA-BH-A0DS,0.536,0.204,0.47
TCGA-BH-A0DT,0.271,0.564,0.42
TCGA-BH-A0DX,0.534,0.797,1.825
TCGA-BH-A0DZ,0.749,0.269,1.603
TCGA-BH-A0E0,0.872,0.264,3.59
TCGA-BH-A0E1,0.477,0.18,0.329
TCGA-BH-A0E2,0.625,0.213,0.711
TCGA-BH-A0E6,0.87,0.578,7.761
TCGA-BH-A0E7,0.395,0.127,0.166
TCGA-BH-A0EA,0.256,0.42,0.29
TCGA-BH-A0EB,0.453,0.384,0.637
TCGA-BH-A0EE,0.881,0.274,4.037
TCGA-BH-A0EI,0.292,0.295,0.243
TCGA-BH-A0GY,0.697,0.296,1.364
TCGA-BH-A0GZ,0.714,0.242,1.204
TCGA-BH-A0H0,0.73,0.09,0.489
TCGA-BH-A0H3,0.269,0.437,0.321
TCGA-BH-A0H6,0.443,0.162,0.258
TCGA-BH-A0H7,0.672,0.165,0.677
TCGA-BH-A0H9,0.671,0.855,3.483
TCGA-BH-A0HA,0.604,0.189,0.574
TCGA-BH-A0HB,0.815,0.262,2.309
TCGA-BH-A0HI,0.411,0.234,0.326
TCGA-BH-A0HK,0.494,0.156,0.304
TCGA-BH-A0HO,0.482,0.249,0.465
TCGA-BH-A0HP,0.392,0.525,0.677
TCGA-BH-A0HQ,0.51,0.192,0.4
TCGA-BH-A0HU,0.896,0.138,2.36
TCGA-BH-A0HW,0.661,0.047,0.184
TCGA-BH-A0HX,0.59,0.221,0.637
TCGA-BH-A0HY,0.752,0.129,0.781
TCGA-BH-A0W3,0.48,0.091,0.167
TCGA-BH-A0W4,0.262,0.41,0.291
TCGA-BH-A0W5,0.226,0.893,0.52
TCGA-BH-A0W7,0.51,0.427,0.89
TCGA-BH-A0WA,0.698,0.233,1.077
TCGA-BH-A18F,0.513,0.58,1.221
TCGA-BH-A18G,0.87,0.183,2.456
TCGA-BH-A18H,0.6,0.663,1.992
TCGA-BH-A18I,0.315,0.209,0.192
TCGA-BH-A18J,0.696,0.495,2.272
TCGA-BH-A18K,0.636,0.231,0.807
TCGA-BH-A18L,0.728,0.077,0.409
TCGA-BH-A18M,0.321,0.693,0.656
TCGA-BH-A18N,0.465,0.085,0.149
TCGA-BH-A18Q,0.644,0.141,0.51
TCGA-BH-A18R,0.768,0.399,2.651
TCGA-BH-A18S,0.533,0.086,0.196
TCGA-BH-A18T,0.883,0.153,2.298
TCGA-BH-A18V,0.866,0.227,2.917
TCGA-BH-A1EN,0.843,0.133,1.43
TCGA-BH-A1EO,0.508,0.321,0.663
TCGA-BH-A1ES,0.467,0.101,0.177
TCGA-BH-A1ET,0.403,0.268,0.362
TCGA-BH-A1EV,0.672,0.194,0.793
TCGA-BH-A1EW,0.582,0.493,1.373
TCGA-BH-A1EX,0.468,0.283,0.497
TCGA-BH-A1EY,0.622,0.524,1.729
TCGA-BH-A1F0,0.498,1.737,3.445
TCGA-BH-A1F2,0.799,0.287,2.28
TCGA-BH-A1F6,0.772,0.39,2.635
TCGA-BH-A1FC,0.883,0.273,4.106
TCGA-BH-A1FD,0.843,0.193,2.074
TCGA-BH-A1FG,0.655,0.105,0.398
TCGA-BH-A1FJ,0.568,0.058,0.152
TCGA-BH-A1FL,0.447,0.13,0.21
TCGA-BH-A1FM,0.9,0.134,2.407
TCGA-BH-A1FN,0.752,0.128,0.776
TCGA-BH-A1FU,0.459,1.218,2.069
TCGA-BH-A201,0.354,0.413,0.454
TCGA-BH-A202,0.688,0.327,1.441
TCGA-BH-A203,0.843,0.465,5.011
TCGA-BH-A204,0.871,0.082,1.112
TCGA-BH-A208,0.491,0.743,1.433
TCGA-BH-A209,0.852,0.758,8.762
TCGA-BH-A28Q,0.385,0.278,0.347
TCGA-BH-A2L8,0.477,0.862,1.572
TCGA-BH-A42T,0.852,0.185,2.121
TCGA-BH-A5IZ,0.881,0.249,3.692
TCGA-BH-A5J0,0.799,0.3,2.383
TCGA-BH-A6R8,0.857,0.201,2.415
TCGA-BH-A8FY,0.728,0.082,0.441
TCGA-BH-A8FZ,0.488,0.933,1.779
TCGA-BH-A8G0,0.137,0.952,0.302
TCGA-BH-AB28,0.442,0.359,0.57
TCGA-C8-A12K,0.793,0.542,4.158
TCGA-C8-A12L,0.829,0.252,2.449
TCGA-C8-A12M,0.754,0.127,0.776
TCGA-C8-A12N,0.448,0.181,0.293
TCGA-C8-A12O,0.548,0.474,1.148
TCGA-C8-A12P,0.804,0.471,3.868
TCGA-C8-A12Q,0.713,0.472,2.348
TCGA-C8-A12T,0.669,0.215,0.87
TCGA-C8-A12U,0.882,0.198,2.963
TCGA-C8-A12W,0.717,0.325,1.65
TCGA-C8-A12X,0.755,0.117,0.722
TCGA-C8-A12Y,0.812,0.185,1.596
TCGA-C8-A12Z,0.781,0.215,1.539
TCGA-C8-A130,0.818,0.237,2.127
TCGA-C8-A131,0.772,0.581,3.942
TCGA-C8-A132,0.44,0.715,1.123
TCGA-C8-A134,0.849,0.323,3.644
TCGA-C8-A135,0.749,0.804,4.798
TCGA-C8-A137,0.747,0.176,1.04
TCGA-C8-A138,0.723,0.37,1.929
TCGA-C8-A1HE,0.395,0.165,0.215
TCGA-C8-A1HF,0.771,0.239,1.607
TCGA-C8-A1HG,0.803,0.31,2.534
TCGA-C8-A1HI,0.713,0.468,2.322
