Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-P3-A6T0,0.611,0.231,0.726
TCGA-P3-A6T2,0.497,0.153,0.303
TCGA-P3-A6T8,0.44,0.61,0.957
TCGA-QK-A64Z,0.264,0.603,0.432
TCGA-QK-A6IG,0.732,0.33,1.805
TCGA-QK-A6V9,0.265,0.325,0.235
TCGA-QK-A8Z7,0.773,0.125,0.853
TCGA-QK-AA3J,0.39,0.176,0.224
TCGA-RS-A6TP,0.637,0.087,0.304
TCGA-T2-A6X0,0.247,0.219,0.144
TCGA-T3-A92M,0.371,0.471,0.557
TCGA-UF-A71A,0.477,0.162,0.295
TCGA-UF-A7J9,0.789,0.551,4.127
TCGA-UF-A7JO,0.405,0.703,0.959
TCGA-UF-A7JT,0.492,0.579,1.123
TCGA-UF-A7JV,0.201,0.624,0.315
TCGA-UP-A6WW,0.373,0.122,0.145
TCGA-WA-A7GZ,0.751,0.37,2.235
TCGA-4P-AA8J,0.556,0.838,2.103
TCGA-BA-4076,0.226,0.105,0.061
TCGA-BA-5556,0.239,0.978,0.615
TCGA-BA-5557,0.345,1.172,1.237
TCGA-BA-5558,0.355,0.573,0.63
TCGA-BA-6869,0.726,0.261,1.382
TCGA-BA-6872,0.143,0.217,0.072
TCGA-BA-6873,0.55,0.371,0.907
TCGA-BA-7269,0.753,0.263,1.604
TCGA-BA-A4II,0.479,1.114,2.044
TCGA-BA-A6D8,0.289,0.275,0.224
TCGA-BA-A6DA,0.265,0.51,0.369
TCGA-BA-A6DD,0.436,1.576,2.439
TCGA-BA-A6DI,0.331,1.063,1.054
TCGA-BA-A6DJ,0.357,0.395,0.439
TCGA-BA-A6DL,0.467,0.543,0.951
TCGA-BB-4227,0.37,0.143,0.168
TCGA-BB-8601,0.297,0.088,0.074
TCGA-BB-A5HZ,0.251,0.467,0.312
TCGA-BB-A6UO,0.398,0.388,0.513
TCGA-C9-A47Z,0.297,0.136,0.115
TCGA-C9-A480,0.393,0.764,0.99
TCGA-CN-4726,0.496,0.524,1.03
TCGA-CN-4727,0.224,0.33,0.19
TCGA-CN-4728,0.393,1.239,1.604
TCGA-CN-4729,0.265,0.623,0.448
TCGA-CN-4731,0.208,0.275,0.144
TCGA-CN-4736,0.324,0.907,0.869
TCGA-CN-4737,0.031,0.314,0.02
TCGA-CN-4738,0.508,1.333,2.753
TCGA-CN-4740,0.279,0.901,0.698
TCGA-CN-5360,0.289,0.495,0.403
TCGA-CN-5369,0.421,1.589,2.312
TCGA-CN-5373,0.429,0.594,0.894
TCGA-CN-6011,0.392,0.172,0.221
TCGA-CN-6012,0.366,0.366,0.423
TCGA-CN-6013,0.336,0.39,0.394
TCGA-CN-6016,0.422,0.976,1.422
TCGA-CN-6017,0.269,0.525,0.385
TCGA-CN-6020,0.452,0.691,1.14
TCGA-CN-6021,0.335,0.357,0.36
TCGA-CN-6024,0.317,0.201,0.186
TCGA-CN-6994,0.415,0.199,0.283
TCGA-CN-6998,0.309,0.248,0.222
TCGA-CN-A497,0.028,0.29,0.017
TCGA-CN-A498,0.388,0.467,0.593
TCGA-CN-A63T,0.463,0.527,0.91
TCGA-CN-A63V,0.505,1.047,2.141
TCGA-CN-A642,0.224,0.208,0.121
TCGA-CN-A6V6,0.517,0.35,0.747
TCGA-CQ-5323,0.532,0.156,0.354
TCGA-CQ-5324,0.393,0.212,0.274
TCGA-CQ-5327,0.221,0.579,0.329
TCGA-CQ-5329,0.181,0.291,0.128
TCGA-CQ-5330,0.427,0.417,0.623
TCGA-CQ-5332,0.561,0.156,0.399
TCGA-CQ-5333,0.508,1.135,2.342
TCGA-CQ-5334,0.365,0.608,0.699
TCGA-CQ-6218,0.323,0.504,0.481
TCGA-CQ-6220,0.475,0.498,0.9
TCGA-CQ-6223,0.52,0.24,0.519
TCGA-CQ-6229,0.305,1.002,0.879
TCGA-CQ-7063,0.454,0.597,0.995
TCGA-CQ-7065,0.731,0.184,0.996
TCGA-CQ-7069,0.399,0.619,0.822
TCGA-CQ-A4C9,0.231,0.334,0.2
TCGA-CQ-A4CE,0.297,0.597,0.504
TCGA-CR-5247,0.341,0.186,0.193
TCGA-CR-6471,0.351,0.403,0.436
TCGA-CR-6484,0.14,0.839,0.272
TCGA-CR-6491,0.436,0.166,0.258
TCGA-CR-7364,0.317,0.467,0.433
TCGA-CR-7372,0.436,0.52,0.805
TCGA-CR-7385,0.384,0.481,0.599
TCGA-CR-7386,0.2,0.975,0.489
TCGA-CR-7388,0.362,0.733,0.833
TCGA-CR-7389,0.539,0.52,1.216
TCGA-CR-7395,0.831,1.407,13.805
TCGA-CR-7397,0.421,1.508,2.188
TCGA-CR-7401,0.722,0.981,5.088
TCGA-CV-5430,0.855,0.211,2.487
TCGA-CV-5432,0.579,0.21,0.575
TCGA-CV-5435,0.133,0.142,0.044
TCGA-CV-5440,0.278,0.139,0.107
TCGA-CV-5441,0.019,0.291,0.011
TCGA-CV-5442,0.675,0.076,0.316
TCGA-CV-5443,0.315,0.363,0.335
TCGA-CV-5444,0.738,0.697,3.924
TCGA-CV-5970,0.208,0.405,0.213
TCGA-CV-5973,0.352,0.139,0.152
TCGA-CV-5978,0.646,0.471,1.722
TCGA-CV-6436,0.024,0.721,0.035
TCGA-CV-6441,0.287,0.119,0.096
TCGA-CV-6935,0.351,0.14,0.152
TCGA-CV-6937,0.691,0.679,3.036
TCGA-CV-6938,0.289,1.382,1.124
TCGA-CV-6942,0.334,0.697,0.698
TCGA-CV-6943,0.415,1.653,2.343
TCGA-CV-6951,0.37,0.167,0.196
TCGA-CV-6952,0.714,0.452,2.258
TCGA-CV-6953,0.87,0.625,8.332
TCGA-CV-6955,0.863,0.59,7.448
TCGA-CV-6962,0.455,0.137,0.228
TCGA-CV-7095,0.757,0.388,2.411
TCGA-CV-7101,0.554,0.514,1.277
TCGA-CV-7104,0.274,0.472,0.355
TCGA-CV-7177,0.22,0.284,0.16
TCGA-CV-7180,0.546,0.754,1.813
TCGA-CV-7235,0.379,0.364,0.444
TCGA-CV-7250,0.601,0.235,0.708
TCGA-CV-7254,0.837,0.543,5.585
TCGA-CV-7261,0.548,0.278,0.673
TCGA-CV-7411,0.439,0.755,1.182
TCGA-CV-7413,0.468,0.654,1.153
TCGA-CV-7425,0.12,0.517,0.141
TCGA-CV-7427,0.211,0.465,0.249
TCGA-CV-A45O,0.383,1.168,1.448
TCGA-CV-A45P,0.391,0.828,1.065
TCGA-CV-A45Q,0.425,0.446,0.659
TCGA-CV-A45R,0.416,0.44,0.628
TCGA-CV-A45V,0.485,0.569,1.072
TCGA-CV-A45X,0.596,0.573,1.693
TCGA-CV-A45Z,0.029,0.611,0.037
TCGA-CV-A460,0.536,0.616,1.423
TCGA-CV-A461,0.407,0.588,0.807
TCGA-CV-A463,0.273,0.357,0.268
TCGA-CV-A464,0.478,1.056,1.931
TCGA-CV-A465,0.278,0.507,0.391
TCGA-CV-A6JE,0.221,0.315,0.178
TCGA-CV-A6JM,0.109,0.273,0.067
TCGA-CV-A6JN,0.508,0.375,0.773
TCGA-CV-A6JT,0.269,0.464,0.341
TCGA-CV-A6JU,0.176,0.751,0.32
TCGA-CV-A6JY,0.309,0.498,0.445
TCGA-CV-A6K1,0.601,0.288,0.867
TCGA-CV-A6K2,0.71,0.728,3.563
TCGA-D6-6516,0.548,0.274,0.666
TCGA-D6-6825,0.239,0.741,0.466
TCGA-D6-8568,0.319,0.73,0.685
TCGA-D6-8569,0.51,0.375,0.781
TCGA-D6-A4ZB,0.721,0.664,3.427
TCGA-D6-A6EK,0.634,0.6,2.077
TCGA-D6-A6EM,0.566,0.724,1.886
TCGA-D6-A6EN,0.211,0.44,0.235
TCGA-D6-A6EQ,0.413,0.374,0.526
TCGA-D6-A6ES,0.622,0.208,0.686
TCGA-DQ-5625,0.73,0.483,2.614
TCGA-DQ-5629,0.509,0.208,0.43
TCGA-DQ-5630,0.499,1.205,2.396
TCGA-F7-7848,0.635,0.411,1.43
TCGA-F7-8298,0.263,0.444,0.317
TCGA-F7-8489,0.367,1.266,1.468
TCGA-F7-A50G,0.547,0.61,1.475
TCGA-F7-A61S,0.84,0.453,4.739
TCGA-F7-A61V,0.472,0.363,0.65
TCGA-F7-A620,0.536,0.9,2.081
TCGA-H7-7774,0.461,0.346,0.592
TCGA-H7-8501,0.546,0.656,1.576
TCGA-H7-8502,0.462,0.159,0.273
TCGA-H7-A6C4,0.385,0.95,1.187
TCGA-H7-A76A,0.558,1.14,2.884
TCGA-HD-7831,0.583,0.882,2.47
TCGA-HD-8224,0.656,0.283,1.077
TCGA-HD-8314,0.351,0.298,0.322
TCGA-HD-8634,0.555,0.996,2.488
TCGA-HD-8635,0.603,0.528,1.604
TCGA-HD-A4C1,0.591,0.339,0.981
TCGA-HD-A6HZ,0.598,0.605,1.802
TCGA-HD-A6I0,0.636,0.275,0.962
TCGA-IQ-7631,0.675,0.132,0.551
TCGA-IQ-7632,0.41,1.665,2.309
TCGA-IQ-A61J,0.424,0.71,1.046
TCGA-IQ-A61O,0.297,0.456,0.386
TCGA-IQ-A6SH,0.427,0.356,0.53
TCGA-MT-A51W,0.708,0.916,4.451
TCGA-MT-A51X,0.824,0.374,3.501
TCGA-MT-A67D,0.834,0.93,9.372
TCGA-MT-A67F,0.476,1.437,2.609
TCGA-MT-A7BN,0.712,0.323,1.597
TCGA-MZ-A5BI,0.588,0.494,1.408
TCGA-P3-A6SW,0.383,0.906,1.123
TCGA-P3-A6T3,0.357,0.262,0.291
TCGA-P3-A6T4,0.551,0.391,0.959
TCGA-P3-A6T5,0.397,0.332,0.437
TCGA-P3-A6T6,0.475,0.207,0.374
TCGA-P3-A6T7,0.522,0.507,1.106
TCGA-QK-A652,0.718,0.987,5.034
TCGA-QK-A6IF,0.456,0.321,0.537
TCGA-QK-A6IH,0.447,0.173,0.279
TCGA-QK-A6IJ,0.512,0.584,1.227
TCGA-QK-A6VC,0.267,1.101,0.801
TCGA-QK-A8Z8,0.534,0.219,0.503
TCGA-QK-A8ZA,0.865,0.127,1.633
TCGA-QK-A8ZB,0.441,0.632,0.998
TCGA-RS-A6TO,0.399,0.361,0.478
TCGA-T2-A6WX,0.531,0.565,1.281
TCGA-T2-A6WZ,0.493,0.407,0.79
TCGA-T2-A6X2,0.487,0.289,0.549
TCGA-T3-A92N,0.433,0.17,0.259
TCGA-TN-A7HI,0.519,0.147,0.316
TCGA-TN-A7HJ,0.414,0.803,1.133
TCGA-TN-A7HL,0.493,0.567,1.103
TCGA-UF-A718,0.362,0.565,0.64
TCGA-UF-A71B,0.557,0.442,1.113
TCGA-UF-A71D,0.754,0.339,2.079
TCGA-UF-A71E,0.535,0.224,0.515
TCGA-UF-A7JA,0.239,0.896,0.563
TCGA-UF-A7JC,0.404,0.138,0.187
TCGA-UF-A7JD,0.48,0.504,0.93
TCGA-UF-A7JF,0.868,0.322,4.252
TCGA-UF-A7JH,0.761,0.247,1.571
TCGA-UF-A7JJ,0.572,1.569,4.202
TCGA-UF-A7JK,0.857,0.22,2.638
TCGA-UF-A7JS,0.745,0.322,1.877
TCGA-WA-A7H4,0.293,1.877,1.555
