Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-64-1677,0.882,0.779,11.624
TCGA-64-1679,0.601,0.806,2.423
TCGA-64-1680,0.647,0.189,0.694
TCGA-64-1681,0.52,0.401,0.868
TCGA-64-5774,0.731,0.117,0.636
TCGA-64-5775,0.818,0.11,0.988
TCGA-64-5778,0.853,0.397,4.616
TCGA-64-5781,0.808,0.839,7.056
TCGA-67-3770,0.886,0.292,4.56
TCGA-67-3771,0.705,0.429,2.044
TCGA-67-3772,0.77,0.679,4.547
TCGA-67-3773,0.748,0.238,1.416
TCGA-67-3774,0.436,0.598,0.925
TCGA-67-6215,0.678,0.19,0.8
TCGA-67-6216,0.405,0.377,0.512
TCGA-67-6217,0.498,0.49,0.97
TCGA-69-7760,0.852,0.164,1.892
TCGA-69-7761,0.493,0.838,1.631
TCGA-69-7763,0.405,0.67,0.911
TCGA-69-7764,0.659,0.165,0.637
TCGA-69-7765,0.55,0.69,1.69
TCGA-69-7980,0.681,0.224,0.959
TCGA-69-8253,0.681,0.498,2.127
TCGA-69-8254,0.417,0.714,1.024
TCGA-69-8255,0.862,0.499,6.255
TCGA-71-6725,0.758,0.236,1.481
TCGA-73-4658,0.386,1.038,1.307
TCGA-73-4659,0.576,0.544,1.48
TCGA-73-4662,0.626,0.353,1.182
TCGA-73-4666,0.836,0.391,3.998
TCGA-73-4668,0.783,0.311,2.242
TCGA-73-4675,0.706,0.221,1.063
TCGA-73-4676,0.804,0.279,2.287
TCGA-73-4677,0.633,0.37,1.274
TCGA-73-7498,0.452,0.307,0.507
TCGA-73-7499,0.876,0.494,6.993
TCGA-73-A9RS,0.861,0.229,2.827
TCGA-75-5122,0.446,1.065,1.717
TCGA-75-5126,0.498,1.309,2.6
TCGA-75-5146,0.753,0.425,2.592
TCGA-75-5147,0.881,0.451,6.662
TCGA-75-6205,0.414,1.857,2.622
TCGA-75-6207,0.85,0.269,3.053
TCGA-75-6211,0.809,0.488,4.128
TCGA-75-6212,0.447,0.591,0.954
TCGA-75-6214,0.811,0.216,1.857
TCGA-75-7025,0.405,0.537,0.732
TCGA-75-7027,0.83,0.219,2.144
TCGA-75-7031,0.744,0.278,1.616
TCGA-78-7145,0.774,0.169,1.158
TCGA-78-7147,0.826,0.216,2.051
TCGA-78-7148,0.542,0.37,0.878
TCGA-78-7149,0.693,0.212,0.953
TCGA-78-7150,0.84,0.386,4.055
TCGA-78-7152,0.511,0.391,0.818
TCGA-78-7153,0.701,0.172,0.804
TCGA-78-7154,0.792,0.28,2.127
TCGA-78-7155,0.872,0.099,1.36
TCGA-78-7156,0.645,0.138,0.5
TCGA-78-7158,0.696,0.072,0.327
TCGA-78-7160,0.549,1.291,3.15
TCGA-78-7161,0.699,0.11,0.51
TCGA-78-7162,0.323,1.206,1.15
TCGA-78-7163,0.883,0.179,2.703
TCGA-78-7166,0.818,0.302,2.712
TCGA-78-7167,0.729,0.074,0.395
TCGA-78-7535,0.856,0.248,2.934
TCGA-78-7536,0.858,0.11,1.323
TCGA-78-7537,0.514,0.19,0.402
TCGA-78-7539,0.615,0.253,0.808
TCGA-78-7540,0.564,0.37,0.958
TCGA-78-7542,0.826,0.387,3.681
TCGA-78-7633,0.582,0.17,0.474
TCGA-78-8640,0.837,0.679,6.959
TCGA-78-8655,0.54,0.279,0.655
TCGA-78-8660,0.646,1.011,3.692
TCGA-78-8662,0.858,0.124,1.499
TCGA-80-5607,0.438,0.498,0.777
TCGA-80-5608,0.622,0.378,1.243
TCGA-83-5908,0.766,0.964,6.315
TCGA-86-6562,0.491,0.351,0.677
TCGA-86-6851,0.572,0.647,1.731
TCGA-86-7713,0.805,0.163,1.346
TCGA-86-7714,0.276,0.249,0.19
TCGA-86-8054,0.853,0.136,1.57
TCGA-86-8055,0.524,0.694,1.529
TCGA-86-8056,0.571,0.44,1.171
TCGA-86-8073,0.726,0.757,4.013
TCGA-86-8074,0.704,0.268,1.274
TCGA-86-8075,0.577,0.558,1.521
TCGA-86-8076,0.428,1.315,1.965
TCGA-86-8278,0.666,0.441,1.76
TCGA-86-8279,0.762,0.206,1.324
TCGA-86-8280,0.446,0.496,0.8
TCGA-86-8281,0.631,0.455,1.555
TCGA-86-8358,0.831,0.132,1.295
TCGA-86-8359,0.674,0.45,1.865
TCGA-86-8585,0.669,0.859,3.467
TCGA-86-8668,0.547,0.381,0.921
TCGA-86-8669,0.63,0.206,0.703
TCGA-86-8672,0.69,0.762,3.387
TCGA-86-8673,0.834,0.602,6.056
TCGA-86-8674,0.709,0.36,1.756
TCGA-86-A456,0.509,1.032,2.141
TCGA-86-A4D0,0.834,0.148,1.496
TCGA-86-A4JF,0.662,0.776,3.034
TCGA-91-6828,0.462,0.428,0.734
TCGA-91-6829,0.632,0.409,1.404
TCGA-91-6835,0.539,1.694,3.967
TCGA-91-6840,0.736,0.23,1.281
TCGA-91-6847,0.828,0.071,0.688
TCGA-91-6849,0.412,0.33,0.463
TCGA-91-7771,0.484,0.398,0.747
TCGA-91-8496,0.738,0.494,2.779
TCGA-91-8497,0.266,0.588,0.426
TCGA-91-8499,0.86,0.128,1.576
TCGA-91-A4BC,0.613,1.311,4.145
TCGA-91-A4BD,0.646,0.387,1.414
TCGA-93-7347,0.334,1.131,1.137
TCGA-93-7348,0.443,0.776,1.236
TCGA-93-8067,0.827,0.497,4.767
TCGA-93-A4JN,0.572,0.643,1.717
TCGA-95-7039,0.717,0.229,1.163
TCGA-95-7043,0.869,0.095,1.253
TCGA-95-7562,0.827,0.231,2.218
TCGA-95-7567,0.677,0.337,1.416
TCGA-95-7947,0.755,0.248,1.531
TCGA-95-8039,0.584,0.633,1.774
TCGA-95-8494,0.808,0.271,2.283
TCGA-95-A4VK,0.615,0.401,1.282
TCGA-95-A4VP,0.724,0.774,4.059
