Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-XR-A8TD,0.925,0.598,14.738
TCGA-XR-A8TG,0.927,0.143,3.659
TCGA-YA-A8S7,0.914,0.486,10.388
TCGA-ZP-A9CZ,0.905,0.275,5.23
TCGA-ZP-A9D4,0.903,0.105,1.965
TCGA-ZS-A9CE,0.697,0.109,0.502
TCGA-ZS-A9CF,0.874,0.062,0.861
TCGA-2Y-A9GU,0.92,0.117,2.699
TCGA-2Y-A9GV,0.878,0.294,4.223
TCGA-2Y-A9GW,0.862,0.39,4.86
TCGA-2Y-A9GX,0.49,1.309,2.512
TCGA-2Y-A9GZ,0.599,0.084,0.251
TCGA-2Y-A9H1,0.883,0.167,2.502
TCGA-2Y-A9H4,0.793,0.138,1.058
TCGA-2Y-A9H6,0.865,0.283,3.615
TCGA-2Y-A9HB,0.912,0.201,4.147
TCGA-5R-AA1C,0.766,0.105,0.683
TCGA-5R-AAAM,0.887,0.35,5.497
TCGA-BC-A10S,0.754,0.649,3.988
TCGA-BC-A10X,0.785,0.576,4.198
TCGA-BC-A69I,0.486,0.144,0.272
TCGA-BW-A5NO,0.827,0.093,0.89
TCGA-DD-A115,0.925,0.149,3.666
TCGA-DD-A11B,0.914,0.086,1.825
TCGA-DD-A11D,0.906,0.149,2.885
TCGA-DD-A1EB,0.893,0.112,1.865
TCGA-DD-A1ED,0.715,1.201,6.021
TCGA-DD-A1EK,0.372,0.138,0.163
TCGA-DD-A39W,0.913,0.097,2.034
TCGA-DD-A3A2,0.929,0.141,3.698
TCGA-DD-A3A3,0.818,0.138,1.248
TCGA-DD-A3A4,0.405,0.174,0.237
TCGA-DD-A3A5,0.236,0.09,0.055
TCGA-DD-A3A8,0.744,0.16,0.93
TCGA-DD-A4NI,0.889,0.246,3.957
TCGA-DD-A4NK,0.646,0.123,0.447
TCGA-DD-A4NL,0.671,0.666,2.712
TCGA-DD-A4NP,0.603,0.394,1.194
TCGA-DD-A73A,0.677,0.23,0.963
TCGA-DD-A73C,0.829,0.223,2.16
TCGA-DD-AAC9,0.893,0.376,6.287
TCGA-DD-AACB,0.722,0.17,0.887
TCGA-DD-AACC,0.32,0.989,0.932
TCGA-DD-AACD,0.905,0.203,3.858
TCGA-DD-AACE,0.659,0.102,0.396
TCGA-DD-AACI,0.785,0.268,1.955
TCGA-DD-AACO,0.9,0.118,2.143
TCGA-DD-AACT,0.81,0.299,2.538
TCGA-DD-AACY,0.831,0.115,1.13
