Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-XF-AAMJ,0.217,0.836,0.464
TCGA-XF-AAML,0.62,0.124,0.405
TCGA-XF-AAMQ,0.382,0.142,0.176
TCGA-XF-AAMT,0.517,0.485,1.038
TCGA-XF-AAMW,0.318,0.256,0.239
TCGA-XF-AAMX,0.768,0.09,0.594
TCGA-XF-AAMY,0.287,0.192,0.155
TCGA-XF-AAN0,0.553,0.26,0.644
TCGA-XF-AAN1,0.459,0.065,0.11
TCGA-XF-AAN2,0.4,0.207,0.276
TCGA-XF-AAN5,0.219,0.472,0.264
TCGA-XF-AAN7,0.455,0.041,0.069
TCGA-YC-A89H,0.485,0.255,0.481
TCGA-YC-A8S6,0.173,1.364,0.572
TCGA-YC-A9TC,0.781,0.146,1.04
TCGA-YF-AA3L,0.841,0.047,0.494
TCGA-YF-AA3M,0.63,0.111,0.378
TCGA-ZF-A9R0,0.432,0.264,0.402
TCGA-ZF-A9R1,0.564,0.307,0.794
TCGA-ZF-A9R2,0.41,0.145,0.201
TCGA-ZF-A9R3,0.368,0.192,0.224
TCGA-ZF-A9R4,0.515,0.043,0.091
TCGA-ZF-A9R5,0.328,0.049,0.048
TCGA-ZF-A9R7,0.481,0.269,0.499
TCGA-ZF-A9R9,0.295,0.072,0.06
TCGA-ZF-A9RD,0.521,0.535,1.162
TCGA-ZF-A9RE,0.38,0.194,0.238
TCGA-ZF-A9RF,0.654,0.314,1.184
TCGA-ZF-A9RL,0.333,0.054,0.054
TCGA-ZF-A9RM,0.495,0.067,0.132
TCGA-ZF-A9RN,0.834,0.111,1.113
TCGA-ZF-AA4N,0.388,0.177,0.225
TCGA-ZF-AA4R,0.47,0.25,0.443
TCGA-ZF-AA4T,0.689,0.313,1.385
TCGA-ZF-AA4U,0.507,0.051,0.106
TCGA-ZF-AA4V,0.775,0.223,1.54
TCGA-ZF-AA4W,0.733,0.912,5.008
TCGA-ZF-AA51,0.563,0.364,0.939
TCGA-ZF-AA52,0.431,0.447,0.676
TCGA-ZF-AA53,0.605,0.943,2.884
TCGA-ZF-AA54,0.587,0.452,1.286
TCGA-ZF-AA56,0.312,0.696,0.63
TCGA-ZF-AA58,0.551,0.908,2.226
TCGA-ZF-AA5H,0.528,0.264,0.591
TCGA-ZF-AA5N,0.427,0.2,0.298
