Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-CZ-5466,0.625,0.729,2.436
TCGA-CZ-5467,0.421,0.243,0.353
TCGA-CZ-5468,0.849,0.409,4.601
TCGA-CZ-5469,0.856,0.109,1.302
TCGA-CZ-5470,0.577,0.426,1.162
TCGA-CZ-5982,0.474,0.358,0.645
TCGA-CZ-5984,0.541,0.208,0.491
TCGA-CZ-5985,0.531,0.318,0.719
TCGA-CZ-5986,0.557,0.229,0.576
TCGA-CZ-5988,0.475,0.372,0.672
TCGA-DV-5565,0.692,0.221,0.993
TCGA-DV-5566,0.577,0.353,0.964
TCGA-DV-A4VX,0.852,0.184,2.117
TCGA-EU-5904,0.374,0.346,0.413
TCGA-EU-5905,0.655,0.288,1.094
TCGA-EU-5906,0.264,0.416,0.298
TCGA-G6-A8L6,0.802,0.272,2.203
TCGA-G6-A8L8,0.874,0.147,2.038
TCGA-GK-A6C7,0.489,0.437,0.837
TCGA-MM-A563,0.646,0.363,1.326
TCGA-MM-A564,0.791,0.344,2.61
TCGA-MM-A84U,0.732,0.441,2.409
TCGA-MW-A4EC,0.622,0.316,1.039
TCGA-T7-A92I,0.696,0.27,1.235
