Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-KK-A8I6,0.488,0.269,0.512
TCGA-KK-A8I8,0.767,0.21,1.387
TCGA-KK-A8I9,0.456,0.468,0.785
TCGA-KK-A8IA,0.725,0.09,0.474
TCGA-KK-A8IB,0.688,0.339,1.495
TCGA-KK-A8IC,0.367,0.924,1.071
TCGA-KK-A8ID,0.858,0.267,3.232
TCGA-KK-A8IF,0.847,0.03,0.33
TCGA-KK-A8IG,0.35,0.249,0.267
TCGA-KK-A8IH,0.528,0.149,0.332
TCGA-KK-A8II,0.568,0.05,0.132
TCGA-KK-A8IJ,0.429,0.381,0.573
TCGA-KK-A8IL,0.58,0.31,0.857
TCGA-M7-A71Y,0.362,1.545,1.751
TCGA-M7-A721,0.349,1.381,1.478
TCGA-M7-A725,0.682,0.145,0.623
TCGA-QU-A6IP,0.457,0.588,0.992
TCGA-SU-A7E7,0.355,1.148,1.265
TCGA-V1-A8MF,0.48,0.307,0.567
TCGA-V1-A8MG,0.357,0.874,0.971
TCGA-V1-A8ML,0.466,0.622,1.086
TCGA-V1-A8MU,0.217,0.56,0.311
TCGA-V1-A8WL,0.363,0.229,0.261
TCGA-V1-A8WN,0.25,0.783,0.523
TCGA-V1-A8WS,0.681,0.162,0.691
TCGA-V1-A8WV,0.863,0.342,4.304
TCGA-V1-A8WW,0.711,0.095,0.47
TCGA-V1-A8X3,0.358,0.361,0.403
TCGA-VN-A88K,0.689,0.122,0.54
TCGA-VN-A88L,0.408,0.299,0.412
TCGA-VN-A88N,0.479,0.21,0.387
TCGA-VN-A88O,0.451,0.94,1.543
TCGA-VN-A88P,0.522,0.15,0.328
TCGA-VN-A88Q,0.598,0.316,0.94
TCGA-VN-A88R,0.754,0.149,0.914
TCGA-VP-A872,0.762,0.341,2.189
TCGA-VP-A876,0.656,0.083,0.318
TCGA-VP-A878,0.283,0.723,0.571
TCGA-VP-A879,0.18,0.538,0.237
TCGA-VP-A87B,0.647,0.069,0.254
TCGA-VP-A87C,0.24,0.737,0.465
TCGA-VP-A87D,0.664,0.172,0.68
TCGA-VP-A87H,0.616,0.303,0.972
TCGA-VP-A87J,0.616,0.125,0.4
TCGA-VP-A87K,0.668,0.077,0.311
TCGA-WW-A8ZI,0.741,0.06,0.341
TCGA-XA-A8JR,0.36,0.946,1.066
TCGA-XJ-A83G,0.626,0.475,1.59
TCGA-XJ-A83H,0.394,0.525,0.683
TCGA-Y6-A8TL,0.344,0.357,0.374
TCGA-YJ-A8SW,0.854,0.094,1.1
TCGA-YL-A8HJ,0.242,1.045,0.668
TCGA-YL-A8HK,0.423,0.795,1.165
TCGA-YL-A8HL,0.623,0.108,0.357
TCGA-YL-A8HM,0.843,0.102,1.09
TCGA-YL-A8S8,0.652,0.276,1.034
TCGA-YL-A8S9,0.603,0.039,0.118
TCGA-YL-A8SA,0.539,0.142,0.332
TCGA-YL-A8SB,0.243,0.569,0.366
TCGA-YL-A8SC,0.601,0.302,0.908
TCGA-YL-A9WH,0.781,0.132,0.94
TCGA-YL-A9WI,0.681,0.066,0.28
TCGA-YL-A9WJ,0.394,0.744,0.967
TCGA-ZG-A8QW,0.477,0.998,1.819
TCGA-ZG-A8QX,0.396,0.463,0.606
TCGA-ZG-A8QY,0.398,0.421,0.558
TCGA-ZG-A8QZ,0.334,0.816,0.818
