Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-D5-6931,0.587,0.472,1.345
TCGA-D5-6932,0.767,0.166,1.089
TCGA-D5-7000,0.521,0.225,0.489
TCGA-DM-A0XD,0.815,0.23,2.02
TCGA-DM-A0XF,0.839,0.321,3.341
TCGA-DM-A1D0,0.895,0.099,1.692
TCGA-DM-A1D4,0.83,0.13,1.271
TCGA-DM-A1D6,0.857,0.072,0.862
TCGA-DM-A1D7,0.721,0.335,1.736
TCGA-DM-A1D8,0.776,0.129,0.89
TCGA-DM-A1D9,0.794,0.145,1.117
TCGA-DM-A1DA,0.888,0.047,0.742
TCGA-DM-A1DB,0.902,0.124,2.277
TCGA-DM-A280,0.658,0.757,2.909
TCGA-DM-A282,0.717,0.163,0.825
TCGA-DM-A28A,0.783,0.099,0.717
TCGA-DM-A28C,0.579,0.112,0.309
TCGA-DM-A28E,0.684,0.076,0.33
TCGA-DM-A28F,0.761,0.186,1.183
TCGA-DM-A28G,0.516,0.173,0.37
TCGA-DM-A28H,0.898,0.174,3.052
TCGA-DM-A28K,0.882,0.083,1.244
TCGA-DM-A28M,0.803,0.142,1.159
TCGA-F4-6459,0.606,0.231,0.71
TCGA-F4-6460,0.639,0.22,0.779
TCGA-F4-6461,0.48,0.366,0.675
TCGA-F4-6463,0.539,0.335,0.782
TCGA-F4-6569,0.462,0.649,1.116
TCGA-F4-6570,0.501,0.263,0.53
TCGA-F4-6704,0.609,0.249,0.775
TCGA-F4-6805,0.479,0.637,1.174
TCGA-F4-6806,0.48,0.234,0.433
TCGA-F4-6807,0.492,0.424,0.821
TCGA-F4-6808,0.871,0.202,2.729
TCGA-F4-6809,0.563,0.433,1.117
TCGA-F4-6854,0.69,0.268,1.19
TCGA-F4-6856,0.55,0.339,0.83
TCGA-G4-6293,0.45,0.285,0.467
TCGA-G4-6294,0.626,0.101,0.34
TCGA-G4-6295,0.84,0.169,1.773
TCGA-G4-6297,0.587,0.395,1.123
TCGA-G4-6298,0.889,0.353,5.629
TCGA-G4-6299,0.726,0.303,1.606
TCGA-G4-6302,0.237,1.198,0.746
TCGA-G4-6303,0.667,0.124,0.499
TCGA-G4-6306,0.744,0.137,0.8
TCGA-G4-6307,0.89,0.12,1.935
TCGA-G4-6309,0.775,0.121,0.835
TCGA-G4-6311,0.635,0.527,1.832
TCGA-G4-6315,0.68,0.439,1.864
TCGA-G4-6317,0.895,0.078,1.326
TCGA-G4-6320,0.709,0.723,3.517
TCGA-G4-6322,0.682,0.085,0.363
TCGA-G4-6323,0.445,0.302,0.483
TCGA-G4-6586,0.767,0.237,1.558
TCGA-G4-6588,0.696,0.4,1.836
TCGA-G4-6626,0.872,0.192,2.615
TCGA-G4-6628,0.74,0.511,2.908
TCGA-NH-A50T,0.873,0.106,1.462
TCGA-NH-A50U,0.774,0.1,0.683
TCGA-NH-A50V,0.628,0.324,1.094
TCGA-NH-A5IV,0.672,0.268,1.101
TCGA-NH-A6GA,0.82,0.15,1.361
TCGA-NH-A6GB,0.791,0.205,1.549
TCGA-NH-A6GC,0.744,0.084,0.485
TCGA-NH-A8F7,0.803,0.071,0.577
TCGA-NH-A8F8,0.805,0.225,1.85
TCGA-QG-A5YV,0.706,0.171,0.819
TCGA-QG-A5YW,0.687,0.185,0.811
TCGA-QG-A5YX,0.576,0.087,0.237
TCGA-QG-A5Z1,0.54,0.147,0.344
TCGA-QG-A5Z2,0.455,0.404,0.673
TCGA-QL-A97D,0.739,0.199,1.124
TCGA-RU-A8FL,0.884,0.112,1.703
TCGA-SS-A7HO,0.844,0.079,0.857
TCGA-T9-A92H,0.833,0.125,1.251
TCGA-WS-AB45,0.611,1.39,4.368
TCGA-AG-A00C,0.767,0.13,0.855
TCGA-AF-2691,0.588,0.724,2.065
TCGA-AG-A01Y,0.861,0.124,1.535
TCGA-AF-2692,0.698,0.133,0.617
TCGA-DC-6154,0.718,0.075,0.385
TCGA-DC-4749,0.842,0.122,1.296
TCGA-AG-3890,0.71,0.249,1.219
TCGA-F5-6465,0.495,0.337,0.66
TCGA-AG-3878,0.901,0.548,10.004
TCGA-AG-A008,0.736,0.042,0.236
TCGA-DC-4745,0.829,0.11,1.062
TCGA-F5-6814,0.786,0.207,1.52
TCGA-EF-5830,0.816,0.096,0.849
TCGA-F5-6464,0.447,0.419,0.678
TCGA-AF-A56L,0.785,0.275,2.013
TCGA-AF-2693,0.668,0.315,1.272
TCGA-AG-3602,0.901,0.309,5.601
TCGA-AG-3725,0.674,0.071,0.292
TCGA-F5-6702,0.437,0.497,0.771
TCGA-AF-2690,0.499,0.516,1.028
TCGA-DY-A1DD,0.878,0.074,1.073
TCGA-EI-6882,0.624,0.154,0.513
TCGA-EI-6881,0.686,0.182,0.796
TCGA-AG-A020,0.849,0.085,0.963
TCGA-EI-6507,0.621,0.379,1.246
TCGA-DY-A0XA,0.851,0.131,1.498
TCGA-AF-6136,0.649,0.281,1.041
TCGA-F5-6810,0.607,0.155,0.481
TCGA-AG-A01W,0.868,0.209,2.738
TCGA-AG-3732,0.753,0.254,1.552
TCGA-AG-3893,0.591,0.169,0.488
TCGA-DC-6681,0.477,0.373,0.681
TCGA-AF-3400,0.71,1.071,5.251
TCGA-AG-3605,0.892,0.215,3.565
TCGA-AG-3898,0.806,0.207,1.721
TCGA-CI-6622,0.632,0.25,0.858
TCGA-DT-5265,0.704,0.262,1.247
TCGA-EI-6885,0.772,0.204,1.381
TCGA-AF-A56K,0.665,0.223,0.884
TCGA-AG-3902,0.684,0.412,1.786
TCGA-EI-6884,0.506,0.608,1.247
TCGA-AF-2687,0.643,0.408,1.471
TCGA-AH-6547,0.144,1.196,0.402
TCGA-AG-A00Y,0.874,0.228,3.178
TCGA-F5-6863,0.769,0.158,1.056
TCGA-AG-A02N,0.711,0.103,0.507
TCGA-AG-A01J,0.746,0.474,2.791
TCGA-EI-6509,0.786,0.111,0.815
TCGA-CL-4957,0.767,0.212,1.396
TCGA-EI-6514,0.613,0.117,0.37
TCGA-AF-5654,0.827,0.126,1.206
TCGA-EI-7002,0.762,0.095,0.607
TCGA-AG-3594,0.78,0.288,2.043
TCGA-AH-6644,0.684,0.201,0.87
TCGA-AG-A016,0.861,0.069,0.86
TCGA-CL-5917,0.724,0.112,0.589
TCGA-F5-6811,0.547,0.212,0.513
TCGA-CI-6620,0.788,0.35,2.6
TCGA-EI-6506,0.527,0.57,1.269
TCGA-F5-6571,0.527,0.178,0.396
TCGA-AH-6903,0.567,0.277,0.725
TCGA-DY-A1DF,0.873,0.037,0.511
TCGA-AG-4007,0.785,0.124,0.903
TCGA-DC-6683,0.651,0.189,0.702
TCGA-EI-6513,0.815,0.109,0.96
TCGA-AG-4005,0.815,0.153,1.352
TCGA-F5-6861,0.624,0.42,1.393
TCGA-AF-4110,0.493,0.343,0.667
TCGA-AG-3581,0.717,0.279,1.409
TCGA-F5-6864,0.568,0.251,0.662
TCGA-EI-6508,0.674,0.144,0.596
TCGA-EI-6512,0.647,0.173,0.635
TCGA-AG-3742,0.736,0.139,0.776
TCGA-AG-3882,0.889,0.189,3.032
TCGA-EI-7004,0.468,0.514,0.903
TCGA-AG-A01N,0.866,0.206,2.655
TCGA-AG-4021,0.658,0.148,0.568
TCGA-DC-6158,0.602,0.285,0.862
TCGA-DY-A1DC,0.744,0.183,1.061
TCGA-AG-4022,0.499,0.233,0.464
TCGA-AG-3909,0.783,0.19,1.372
TCGA-DC-6160,0.787,0.254,1.879
TCGA-AG-3598,0.869,0.099,1.323
TCGA-CL-5918,0.851,0.149,1.709
TCGA-EI-6511,0.711,0.257,1.265
TCGA-DC-5869,0.789,0.174,1.307
TCGA-AG-A02X,0.899,0.076,1.354
