Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-BG-A186,0.53,0.127,0.286
TCGA-BG-A18B,0.542,0.055,0.131
TCGA-BG-A18C,0.837,0.115,1.175
TCGA-BG-A2AE,0.717,0.233,1.181
TCGA-BG-A2L7,0.394,0.369,0.48
TCGA-BG-A3EW,0.543,0.077,0.183
TCGA-BG-A3PP,0.814,0.211,1.852
TCGA-BK-A0C9,0.929,0.096,2.506
TCGA-BK-A139,0.843,0.347,3.739
TCGA-BK-A26L,0.703,0.262,1.239
TCGA-BK-A4ZD,0.905,0.06,1.141
TCGA-BK-A56F,0.304,0.117,0.103
TCGA-BK-A6W3,0.462,0.243,0.417
TCGA-BS-A0TA,0.729,0.895,4.823
TCGA-BS-A0TC,0.826,0.121,1.144
TCGA-BS-A0TE,0.904,0.289,5.47
TCGA-BS-A0TG,0.773,0.162,1.102
TCGA-BS-A0TI,0.913,0.219,4.57
TCGA-BS-A0U5,0.57,0.145,0.385
TCGA-BS-A0UA,0.587,0.312,0.886
TCGA-BS-A0UL,0.368,0.614,0.717
TCGA-BS-A0V6,0.605,0.728,2.236
TCGA-BS-A0V8,0.889,0.218,3.507
TCGA-BS-A0VI,0.89,0.192,3.118
TCGA-D1-A0ZN,0.454,0.185,0.307
TCGA-D1-A0ZO,0.495,0.244,0.478
TCGA-D1-A0ZP,0.793,0.151,1.16
TCGA-D1-A0ZQ,0.608,0.192,0.597
TCGA-D1-A0ZS,0.619,0.153,0.498
TCGA-D1-A0ZV,0.565,0.354,0.92
TCGA-D1-A0ZZ,0.877,0.059,0.844
TCGA-D1-A101,0.52,0.991,2.149
TCGA-D1-A102,0.565,0.143,0.372
TCGA-D1-A15V,0.753,0.082,0.497
TCGA-D1-A15W,0.485,0.359,0.677
TCGA-D1-A15X,0.825,0.48,4.535
TCGA-D1-A163,0.611,0.121,0.38
TCGA-D1-A165,0.593,0.241,0.704
TCGA-D1-A167,0.635,0.05,0.175
TCGA-D1-A16E,0.663,0.401,1.576
TCGA-D1-A16G,0.843,0.472,5.059
TCGA-D1-A16I,0.929,0.106,2.761
TCGA-D1-A16N,0.926,0.106,2.672
TCGA-D1-A16O,0.561,0.161,0.41
TCGA-D1-A16Q,0.845,0.132,1.442
TCGA-D1-A16R,0.69,0.141,0.631
TCGA-D1-A16S,0.881,0.163,2.422
TCGA-D1-A16V,0.856,0.147,1.744
TCGA-D1-A174,0.927,0.294,7.518
TCGA-D1-A176,0.778,0.101,0.708
TCGA-D1-A179,0.905,0.07,1.332
TCGA-D1-A17A,0.76,0.182,1.154
TCGA-D1-A17B,0.917,0.706,15.609
TCGA-D1-A17C,0.93,0.442,11.698
TCGA-D1-A17F,0.76,0.293,1.85
TCGA-D1-A17H,0.772,0.248,1.681
TCGA-D1-A17K,0.906,0.073,1.413
TCGA-D1-A17L,0.854,0.169,1.975
TCGA-D1-A17M,0.69,0.111,0.492
TCGA-D1-A17R,0.925,0.092,2.271
TCGA-D1-A17S,0.926,0.078,1.946
TCGA-D1-A17U,0.637,0.225,0.789
TCGA-D1-A1NS,0.63,0.51,1.736
TCGA-D1-A1NU,0.86,0.099,1.213
TCGA-D1-A1NW,0.74,0.179,1.015
TCGA-D1-A1NX,0.807,0.111,0.927
TCGA-D1-A1NY,0.59,0.135,0.388
TCGA-D1-A1NZ,0.568,0.128,0.337
TCGA-D1-A1O0,0.902,0.058,1.08
TCGA-D1-A1O5,0.699,0.073,0.337
TCGA-D1-A1O7,0.636,0.176,0.614
TCGA-D1-A1O8,0.775,0.48,3.317
TCGA-D1-A2G0,0.907,0.155,3.031
TCGA-D1-A2G5,0.638,0.054,0.191
TCGA-D1-A2G6,0.625,0.279,0.93
TCGA-D1-A2G7,0.719,0.228,1.166
TCGA-D1-A3DA,0.576,0.091,0.248
TCGA-D1-A3DG,0.929,0.037,0.98
TCGA-D1-A3DH,0.899,0.059,1.047
TCGA-D1-A3JQ,0.623,0.161,0.531
TCGA-DF-A2KR,0.849,0.107,1.2
TCGA-DF-A2KS,0.877,0.153,2.18
TCGA-DF-A2KU,0.904,0.185,3.501
TCGA-DF-A2KV,0.764,0.32,2.069
TCGA-DF-A2KY,0.909,0.2,3.968
TCGA-DF-A2KZ,0.762,0.376,2.408
TCGA-DI-A1BU,0.639,0.48,1.696
TCGA-DI-A1BY,0.884,0.218,3.327
TCGA-DI-A1NN,0.771,0.193,1.298
TCGA-DI-A1NO,0.884,0.038,0.579
TCGA-DI-A2QT,0.884,0.072,1.085
TCGA-DI-A2QU,0.918,0.108,2.42
TCGA-DI-A2QY,0.873,0.158,2.17
TCGA-E6-A1LX,0.791,0.695,5.247
TCGA-E6-A1LZ,0.902,0.258,4.742
TCGA-E6-A2P8,0.552,0.581,1.433
TCGA-E6-A2P9,0.499,0.064,0.127
TCGA-E6-A8L9,0.78,0.133,0.943
TCGA-EC-A1NJ,0.515,0.239,0.507
TCGA-EC-A1QX,0.611,0.342,1.072
TCGA-EC-A24G,0.518,0.252,0.542
TCGA-EO-A1Y5,0.819,0.072,0.654
TCGA-EO-A1Y7,0.892,0.042,0.695
TCGA-EO-A1Y8,0.775,0.061,0.42
TCGA-EO-A22R,0.726,0.203,1.08
TCGA-EO-A22T,0.592,0.367,1.066
TCGA-EO-A22X,0.788,0.164,1.224
TCGA-EO-A22Y,0.641,0.161,0.575
TCGA-EO-A2CG,0.811,0.367,3.148
TCGA-EO-A2CH,0.868,0.056,0.733
TCGA-EO-A3AS,0.888,0.147,2.324
TCGA-EO-A3AV,0.868,0.654,8.576
TCGA-EO-A3AY,0.931,0.149,4.006
TCGA-EO-A3B1,0.722,0.31,1.61
TCGA-EO-A3KU,0.792,0.1,0.765
TCGA-EO-A3KW,0.811,0.115,0.992
TCGA-EO-A3KX,0.543,0.305,0.725
TCGA-EO-A3L0,0.617,0.372,1.199
TCGA-EY-A1GC,0.878,0.227,3.252
TCGA-EY-A1GF,0.646,0.051,0.187
TCGA-EY-A1GK,0.602,0.19,0.576
TCGA-EY-A1GL,0.643,0.141,0.508
TCGA-EY-A1GM,0.876,0.044,0.619
TCGA-EY-A1GP,0.732,0.126,0.689
TCGA-EY-A1GR,0.916,0.076,1.648
TCGA-EY-A1GS,0.913,0.082,1.716
TCGA-EY-A1GV,0.863,1.047,13.204
TCGA-EY-A1H0,0.764,0.049,0.319
TCGA-EY-A210,0.909,0.09,1.797
TCGA-EY-A212,0.777,0.07,0.486
TCGA-EY-A214,0.782,0.208,1.491
TCGA-EY-A215,0.81,0.095,0.811
TCGA-EY-A2OM,0.54,0.141,0.331
TCGA-EY-A2ON,0.787,0.137,1.013
TCGA-EY-A2OP,0.759,0.077,0.489
TCGA-EY-A2OQ,0.863,0.074,0.936
TCGA-EY-A3L3,0.885,0.048,0.741
TCGA-EY-A3QX,0.883,0.13,1.956
TCGA-EY-A4KR,0.732,0.324,1.773
TCGA-EY-A54A,0.714,0.149,0.744
TCGA-EY-A5W2,0.881,0.052,0.768
TCGA-EY-A72D,0.772,0.096,0.648
TCGA-FI-A2CY,0.821,0.125,1.149
TCGA-FI-A2D0,0.608,0.245,0.762
TCGA-FI-A2D2,0.727,0.14,0.745
