Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-CD-A4MH,0.306,0.364,0.32
TCGA-CG-4436,0.413,0.26,0.366
TCGA-CG-4440,0.377,0.266,0.322
TCGA-D7-6526,0.186,0.144,0.066
TCGA-D7-6528,0.443,0.187,0.297
TCGA-D7-6822,0.363,0.19,0.216
TCGA-D7-8572,0.337,0.682,0.694
TCGA-D7-8573,0.264,0.202,0.145
TCGA-D7-A4YU,0.701,0.585,2.745
TCGA-D7-A4YX,0.601,0.378,1.136
TCGA-D7-A6EV,0.71,0.283,1.39
TCGA-D7-A6EZ,0.505,0.247,0.504
TCGA-D7-A6F0,0.613,0.171,0.543
TCGA-EQ-8122,0.717,0.29,1.469
TCGA-F1-6875,0.463,0.08,0.138
TCGA-FP-8099,0.473,0.18,0.323
TCGA-HF-A5NB,0.396,0.048,0.063
TCGA-HU-8608,0.229,0.745,0.443
TCGA-HU-A4G2,0.621,0.219,0.716
TCGA-HU-A4GF,0.418,0.213,0.306
TCGA-HU-A4GH,0.33,0.164,0.162
TCGA-HU-A4GU,0.666,0.146,0.583
TCGA-HU-A4H0,0.441,0.959,1.514
TCGA-HU-A4H2,0.715,0.349,1.755
TCGA-HU-A4H3,0.592,0.21,0.61
TCGA-HU-A4H4,0.558,0.673,1.699
TCGA-HU-A4H5,0.399,0.21,0.279
TCGA-HU-A4H8,0.436,0.216,0.334
TCGA-HU-A4HD,0.441,0.322,0.508
TCGA-IN-8663,0.504,0.117,0.239
TCGA-IN-A6RO,0.395,0.057,0.074
TCGA-IP-7968,0.535,0.194,0.446
TCGA-MX-A666,0.366,0.519,0.598
TCGA-RD-A7BT,0.382,0.262,0.324
TCGA-RD-A8N6,0.286,0.194,0.156
TCGA-VQ-A8DV,0.647,0.206,0.756
TCGA-VQ-A8DZ,0.495,0.255,0.502
TCGA-VQ-A8E0,0.69,0.408,1.82
TCGA-VQ-A8E2,0.412,0.381,0.534
TCGA-VQ-A8E3,0.538,0.312,0.724
TCGA-VQ-A8PE,0.296,0.411,0.345
TCGA-VQ-A8PF,0.751,0.543,3.277
TCGA-VQ-A8PH,0.711,0.307,1.507
TCGA-VQ-A8PJ,0.43,0.156,0.235
TCGA-VQ-A8PO,0.444,0.389,0.621
TCGA-VQ-A91D,0.516,0.22,0.468
TCGA-VQ-A91K,0.272,0.191,0.143
TCGA-VQ-A91N,0.501,0.226,0.455
TCGA-VQ-A91S,0.504,0.284,0.577
TCGA-VQ-A91Z,0.668,0.111,0.445
TCGA-VQ-A922,0.567,0.316,0.828
TCGA-VQ-A925,0.699,0.195,0.909
TCGA-VQ-A928,0.561,0.379,0.971
TCGA-VQ-A92D,0.496,0.171,0.337
TCGA-VQ-A94O,0.547,0.149,0.359
TCGA-VQ-A94R,0.759,0.213,1.341
TCGA-VQ-A94T,0.608,0.132,0.411
TCGA-VQ-AA64,0.601,0.372,1.12
TCGA-VQ-AA68,0.482,0.314,0.584
TCGA-VQ-AA69,0.429,0.112,0.168
TCGA-VQ-AA6A,0.479,0.14,0.258
TCGA-VQ-AA6D,0.48,0.135,0.249
TCGA-VQ-AA6F,0.112,1.123,0.283
TCGA-VQ-AA6J,0.383,0.983,1.221
