Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-58-A46K,0.802,0.454,3.679
TCGA-58-A46L,0.886,0.415,6.442
TCGA-58-A46M,0.879,0.263,3.816
TCGA-58-A46N,0.892,0.116,1.918
TCGA-60-2695,0.803,0.105,0.855
TCGA-60-2697,0.233,1.867,1.133
TCGA-60-2698,0.612,0.49,1.547
TCGA-60-2703,0.77,0.899,6.03
TCGA-60-2704,0.484,1.189,2.233
TCGA-60-2706,0.808,0.311,2.615
TCGA-60-2707,0.46,0.375,0.64
TCGA-60-2708,0.729,0.27,1.458
TCGA-60-2709,0.415,1.525,2.159
TCGA-60-2710,0.624,0.419,1.389
TCGA-60-2711,0.811,0.164,1.414
TCGA-60-2713,0.66,0.343,1.335
TCGA-60-2714,0.746,0.374,2.201
TCGA-60-2719,0.838,0.163,1.683
TCGA-60-2721,0.628,0.267,0.902
TCGA-60-2722,0.871,0.08,1.079
TCGA-60-2723,0.799,0.54,4.289
TCGA-60-2724,0.786,0.608,4.47
TCGA-60-2725,0.508,1.061,2.188
TCGA-60-2726,0.868,0.386,5.071
TCGA-63-5128,0.811,0.132,1.127
TCGA-63-5131,0.823,0.23,2.14
TCGA-63-6202,0.708,0.628,3.051
TCGA-63-7020,0.563,0.345,0.889
TCGA-63-7021,0.566,1.246,3.248
TCGA-63-7023,0.861,0.102,1.259
TCGA-63-A5M9,0.857,0.235,2.82
TCGA-63-A5MB,0.866,0.195,2.524
TCGA-63-A5MH,0.853,0.098,1.133
TCGA-63-A5MI,0.862,0.362,4.511
TCGA-63-A5MJ,0.836,0.387,3.934
TCGA-63-A5ML,0.665,0.207,0.823
TCGA-63-A5MM,0.608,0.942,2.921
TCGA-63-A5MP,0.762,0.697,4.45
TCGA-63-A5MR,0.798,0.678,5.37
TCGA-63-A5MS,0.453,1.088,1.8
TCGA-63-A5MT,0.684,0.815,3.533
TCGA-63-A5MU,0.876,0.096,1.357
TCGA-63-A5MV,0.65,0.787,2.923
